data,valor,serie
2004-01-01,0.76,ipca
2004-02-01,0.61,ipca
2004-03-01,0.47,ipca
2004-04-01,0.37,ipca
2004-05-01,0.51,ipca
2004-06-01,0.71,ipca
2004-07-01,0.91,ipca
2004-08-01,0.69,ipca
2004-09-01,0.33,ipca
2004-10-01,0.44,ipca
2004-11-01,0.69,ipca
2004-12-01,0.86,ipca
2005-01-01,0.58,ipca
2005-02-01,0.59,ipca
2005-03-01,0.61,ipca
2005-04-01,0.87,ipca
2005-05-01,0.49,ipca
2005-06-01,-0.02,ipca
2005-07-01,0.25,ipca
2005-08-01,0.17,ipca
2005-09-01,0.35,ipca
2005-10-01,0.75,ipca
2005-11-01,0.55,ipca
2005-12-01,0.36,ipca
2006-01-01,0.59,ipca
2006-02-01,0.41,ipca
2006-03-01,0.43,ipca
2006-04-01,0.21,ipca
2006-05-01,0.1,ipca
2006-06-01,-0.21,ipca
2006-07-01,0.19,ipca
2006-08-01,0.05,ipca
2006-09-01,0.21,ipca
2006-10-01,0.33,ipca
2006-11-01,0.31,ipca
2006-12-01,0.48,ipca
2007-01-01,0.44,ipca
2007-02-01,0.44,ipca
2007-03-01,0.37,ipca
2007-04-01,0.25,ipca
2007-05-01,0.28,ipca
2007-06-01,0.28,ipca
2007-07-01,0.24,ipca
2007-08-01,0.47,ipca
2007-09-01,0.18,ipca
2007-10-01,0.3,ipca
2007-11-01,0.38,ipca
2007-12-01,0.74,ipca
2008-01-01,0.54,ipca
2008-02-01,0.49,ipca
2008-03-01,0.48,ipca
2008-04-01,0.55,ipca
2008-05-01,0.79,ipca
2008-06-01,0.74,ipca
2008-07-01,0.53,ipca
2008-08-01,0.28,ipca
2008-09-01,0.26,ipca
2008-10-01,0.45,ipca
2008-11-01,0.36,ipca
2008-12-01,0.28,ipca
2009-01-01,0.48,ipca
2009-02-01,0.55,ipca
2009-03-01,0.2,ipca
2009-04-01,0.48,ipca
2009-05-01,0.47,ipca
2009-06-01,0.36,ipca
2009-07-01,0.24,ipca
2009-08-01,0.15,ipca
2009-09-01,0.24,ipca
2009-10-01,0.28,ipca
2009-11-01,0.41,ipca
2009-12-01,0.37,ipca
2010-01-01,0.75,ipca
2010-02-01,0.78,ipca
2010-03-01,0.52,ipca
2010-04-01,0.57,ipca
2010-05-01,0.43,ipca
2010-06-01,0,ipca
2010-07-01,0.01,ipca
2010-08-01,0.04,ipca
2010-09-01,0.45,ipca
2010-10-01,0.75,ipca
2010-11-01,0.83,ipca
2010-12-01,0.63,ipca
2011-01-01,0.83,ipca
2011-02-01,0.8,ipca
2011-03-01,0.79,ipca
2011-04-01,0.77,ipca
2011-05-01,0.47,ipca
2011-06-01,0.15,ipca
2011-07-01,0.16,ipca
2011-08-01,0.37,ipca
2011-09-01,0.53,ipca
2011-10-01,0.43,ipca
2011-11-01,0.52,ipca
2011-12-01,0.5,ipca
2012-01-01,0.56,ipca
2012-02-01,0.45,ipca
